Artist,LeadArtistId
Matthew West,1930
Five Finger Death Punch,2935
Justin Bieber,3479
Sam Hunt,4954
"Max Styler, Laura White, KC Lights",5611
Cienfue,49918
"Amtrac, Totally Enormous Extinct Dinosaurs",207172
"Yung Pinch, blackbear",215374
Todd Terry,239009
Carly Pearce,299279
"Faruk Orakci, Ceren Toksöz",420423
Clara Mae,431406
Devon Gilfillian,466187
"Moneybagg Yo, Lil Baby",601328
"Jua, Shimon Hoshino",772316
"Quando Rondo, 2 Chainz, A Boogie Wit da Hoodie",874393
Elle Limebear,1020210
The Church Will Sing,1336952
"Zedd, Kehlani, Osrin",3777
COUNTERFEIT.,490419
Mandisa,3177
"24kGoldn, Lil Tjay",1005525
Maxx Owa,1729462
"Kresnt, audiodrugz",901203
Jayden Premo,1090209
"Curtis Williams, Cam Sheely, JID",79873
Elang Defrianto,1351912
"Andreas Moss, Sinclair",215316
Luis Rodriguez,657962
Rachel Zello,1747238
Set It Off,5040
"Dylan Matthew, SLANDER, Synymata",467916
Annaca,458023
Abdullah Al Mukhles,1480651
Moses Sumney,210053
Pixel Terror,572986
Blue Hawaii,308252
Joywave,3839
Caroline Rose,12435
"Jay Menez, Rauw Alejandro",859302
"T.R.U., 2 Chainz, Skooly",1782657
Super Whatevr,178152
Leotrix,517595
"Marianas Trench, UNKLFNKL",2899
"Reuben And The Dark, AG",209243
Sidewalk Prophets,3567
Nathaniel Rateliff,3791
"Zeds Dead, Ganja White Night",3795
Grouplove,3802
Wolf Parade,39879
Nada Surf,70818
"Forever, Just John",169754
The Men,194392
Gavin Haley,217098
"Jua, B-BANDJ, Shimon Hoshino",772316
William Prince,861189
ripmattblack,1351365
"Nicky Jam, Daddy Yankee",1948
Algiers,322397
Kuatro Kantos,1431338
Stone Temple Pilots,183
Alicia Keys,977
Mac Miller,3772
J Balvin,3883
Other Lives,206287
of Montreal,207307
Khalid,209693
"Bulova, El Boke",431530
Crankdat,469963
The Lone Bellow,470127
Rejoicer,651336
Frances Quinlan,3336031
Poppy,631676
Neon Dreams,161929
"Ozzy Osbourne, Elton John",69
"Matt Redman, Brandon Lake",949
Little Big Town,1657
John Legend,2053
"Jason Gray, Blanca",2867
"Selena Gomez, 6LACK",3168
Selena Gomez,3168
Selena Gomez,3168
Selena Gomez,3168
Selena Gomez,3168
"Future, Drake",3870
Jamie Grace,3971
Elevation Worship,4043
Brandy Clark,4463
"Carnage, Tyga, OHGEESY, Takeoff",4493
"Galantis, Dolly Parton, Mr. Probz",4588
flora cash,4803
Halsey,5109
EDEN,5576
gnash,5594
"Max Styler, Laura White, Sondr",5611
Filmore,22117
"Valentino Khan, Diplo, Tchami",46206
Sexton,52636
"Whethan, STRFKR",64548
070 Shake,71390
Salt Cathedral,86707
Lou Fellingham,112484
Tennis,129673
The Crabb Family,146928
"Cory Asbury, Tori Kelly",174142
Beach Bunny,189590
Bleeker,206535
"Jauz, TYNAN",207972
SAYGRACE,209018
"Shallou, Daya",209303
Philip Sayce,209610
Picture This,213894
Elley Duhé,215318
"Juanka, Anonimus, Papi Wilo, Boy Wonder CF",217110
The Franklin Electric,217527
"Tauren Wells, Jenn Johnson",236507
"Ethan Gruska, Phoebe Bridgers",334798
Devon Gilfillian,466187
Key Glock,491635
Karen Peck & New River,524459
Orion Sun,524710
Ezra Jordan,550529
Conan Gray,562618
"Moneybagg Yo, DaBaby",601328
Zauntee,657619
"HOSH, 1979, Jalja",686379
Lil Baby,731530
Gabby Barrett,824091
"Fame Holiday, LB SPIFFY",867599
"Quando Rondo, Luh Kel",874393
Quando Rondo,874393
Winona Oak,898967
"Kosling, Blackcode, Robbie Rosen",924840
Aunty Social,1025220
chloe moriondo,1134948
Marcus King,1427988
"Olivia Rodrigo, Joshua Bassett, Matt Cornett",260477
"Artists for Peace and Justice, Jackson Browne, Jenny Lewis, Habib Koité",3421353
"Sean Sahand, Sak Noel",344559
Brandon Lay,23350
Baby Goth,1352085
Leyla Blue,1721965
Travis Cottrell,317842
"Sharlene, Farina, Tainy",111548
TobyMac,1244
"Connor Bvrns, Bonn",3512685
"Dermot Kennedy, MEDUZA",206846
Quinn XCII,214809
Sia,1702
Reece Low,308355
Jacquie,729788
"Aly Ryan, Ugly God",625038
Nino Obenza,1700694
Ángel,1467448
Moon Rise City,3514385
"Snare, Antonin",3514364
CYNEMA,824361
John Mark McMillan,35330
"Lincey, Joie Tan",911610
"TINI, Mau y Ricky",206907
Ratboys,97903
Master's Voice,163089
Carin Leon,1011054
"Don Doe, Lil Baby",3439268
Royal & the Serpent,732175
"Megan Thee Stallion, Normani",788785
Bankrol Hayden,1059073
"SoulLab, Richelle Hicks",1710334
"Al2 El Aldeano, Gabylonia",438907
"Beck, St. Vincent",16
SYML,207436
Kudu Blue,178110
Gord Sinclair,1749103
Nico Paulo,1772749
Naeli Fulmaa,1569038
Dale Thompson,3514351
Blonde Diamond,1344831
Jac Ross,3513776
Aldo Trujillo,742518
Sarah Harmer,34290
Fytch,207254
"Shakira, Anuel AA",308
Hayley Kiyoko,4333
Staasia Daniels,37685
"Zeds Dead, DNMO, GG Magree",3795
"Khruangbin, Leon Bridges",180047
Mozzy,197716
Myrkur,200035
"Jauz, Jump System",207972
Andy Shauf,209434
"TOKiMONSTA, EARTHGANG",209666
Born Ruffians,209942
"Yung Tory, Yung Jizzel, Hoodrich Rocklee",297717
Soccer Mommy,398625
Four Year Strong,59542
"Jai Wolf, Wrabel",135738
Husbands,146717
Ultraísta,172735
S. Raekwon,3521394
Alexisonfire,208424
Mute Choir,740642
"T.R.U., Sleepy Rose",1782657
KALEO,4854
Aliocha,77084
Jacob Latimore,215162
Caveboy,230673
iamnotshane,258073
DRAMA,511009
"Ovy On The Drums, Beéle",1366884
TORRES,21868
"Mksolive, Rydaway",1335975
Jorge da Rocha,130303
Trophy Eyes,208664
Alfareros,322066
Luby Sparks,857219
Les Deuxluxes,475686
"Black Tiger Sex Machine, Blanke",56803
feelswithcaps,1580454
Green Day,175
COIN,4542
"Lupe Fuentes, Curt Reynolds",86387
"Lupe Fuentes, Flygirl",86387
"Lupe Fuentes, MC Flipside",86387
"H.E.R., A Boogie Wit da Hoodie, Chris Brown",207304
Porridge Radio,396118
"N7, Pwap",1130707
Pop Smoke,1401297
Danny Ocean,214292
blackbear,169796
Lizzy Farrall,566365
"Devendra Banhart, Helado Negro",103821
"Bad New Days, Seh Dela Peña",1779704
Mavi Gri,647246
"Dreamville, Bas, Cozz, Girl Talk",1610170
"Dreamville, EARTHGANG, REASON",1610170
Hearts and Bros,1638661
Grey Daze,3522339
Eminem,236
"Eminem, Juice WRLD",236
"Eminem, Skylar Grey",236
Eminem,236
"Eminem, Juice WRLD",236
"Eminem, Ed Sheeran",236
Switchfoot,710
Matt Redman,949
Missy Elliott,1041
José Feliciano,1325
Avenged Sevenfold,1583
Little Big Town,1657
Matt Maher,1810
Matthew West,1930
"Steve Aoki, Maluma",3085
Best Coast,3494
"De La Ghetto, Jhay Cortez, Miky Woodz, Zion & Lennox",3570
Mac Miller,3772
Mac Miller,3772
"Meek Mill, Farruko",3970
"2 Chainz, Future",4031
